pin,slack
DACController_0/sclock_counter_cry[23]:S,-429
DACController_0/sclock_counter_cry[23]:UB,
DACController_0/sclock_counter_cry[29]:A,
DACController_0/sclock_counter_cry[29]:B,-310
DACController_0/sclock_counter_cry[29]:C,
DACController_0/sclock_counter_cry[29]:CC,112
DACController_0/sclock_counter_cry[29]:D,
DACController_0/sclock_counter_cry[29]:P,-310
DACController_0/sclock_counter_cry[29]:S,112
DACController_0/sclock_counter_cry[29]:UB,
ccu25_data_1_obuft[3]/U0/U_IOENFF:A,
ccu25_data_1_obuft[3]/U0/U_IOENFF:Y,
JTAG_1/next_TAP_state_srsts_0_a2[9]:A,726
JTAG_1/next_TAP_state_srsts_0_a2[9]:B,
JTAG_1/next_TAP_state_srsts_0_a2[9]:Y,726
DACController_0/sclock_counter[25]:ADn,
DACController_0/sclock_counter[25]:ALn,
DACController_0/sclock_counter[25]:CLK,-2736
DACController_0/sclock_counter[25]:D,-250
DACController_0/sclock_counter[25]:EN,
DACController_0/sclock_counter[25]:LAT,
DACController_0/sclock_counter[25]:Q,-2736
DACController_0/sclock_counter[25]:SD,
DACController_0/sclock_counter[25]:SLn,-2055
JTAG_1/loop_counter[0]:ADn,
JTAG_1/loop_counter[0]:ALn,
JTAG_1/loop_counter[0]:CLK,-1937
JTAG_1/loop_counter[0]:D,-1916
JTAG_1/loop_counter[0]:EN,
JTAG_1/loop_counter[0]:LAT,
JTAG_1/loop_counter[0]:Q,-1937
JTAG_1/loop_counter[0]:SD,
JTAG_1/loop_counter[0]:SLn,
JTAG_3/ir_loop:ADn,
JTAG_3/ir_loop:ALn,
JTAG_3/ir_loop:CLK,624
JTAG_3/ir_loop:D,1735
JTAG_3/ir_loop:EN,455
JTAG_3/ir_loop:LAT,
JTAG_3/ir_loop:Q,624
JTAG_3/ir_loop:SD,
JTAG_3/ir_loop:SLn,
dac_sync_0_obuf/U0/U_IOENFF:A,
dac_sync_0_obuf/U0/U_IOENFF:Y,
JTAG_1/tms_pad_o_6_i_1:A,-470
JTAG_1/tms_pad_o_6_i_1:B,-585
JTAG_1/tms_pad_o_6_i_1:C,-662
JTAG_1/tms_pad_o_6_i_1:Y,-662
DACController_0/sclock_counter[21]:ADn,
DACController_0/sclock_counter[21]:ALn,
DACController_0/sclock_counter[21]:CLK,-1820
DACController_0/sclock_counter[21]:D,-414
DACController_0/sclock_counter[21]:EN,
DACController_0/sclock_counter[21]:LAT,
DACController_0/sclock_counter[21]:Q,-1820
DACController_0/sclock_counter[21]:SD,
DACController_0/sclock_counter[21]:SLn,-2055
JTAG_2/un14_o2[2]:A,-1818
JTAG_2/un14_o2[2]:B,-1886
JTAG_2/un14_o2[2]:Y,-1886
dac_sclk_3_obuf/U0/U_IOOUTFF:A,
dac_sclk_3_obuf/U0/U_IOOUTFF:Y,
JTAG_2/un14_i_a2_0[0]:A,-390
JTAG_2/un14_i_a2_0[0]:B,-440
JTAG_2/un14_i_a2_0[0]:Y,-440
ccu25_data_3_obuft[6]/U0/U_IOOUTFF:A,
ccu25_data_3_obuft[6]/U0/U_IOOUTFF:Y,
ip_interface_inst_3:A,
ip_interface_inst_3:B,
ip_interface_inst_3:C,
pbpd_obuft[6]/U0/U_IOOUTFF:A,
pbpd_obuft[6]/U0/U_IOOUTFF:Y,
hptdc_tdo_3_obuf/U0/U_IOOUTFF:A,
hptdc_tdo_3_obuf/U0/U_IOOUTFF:Y,
hptdc_encode_control_2_obuft/U0/U_IOENFF:A,
hptdc_encode_control_2_obuft/U0/U_IOENFF:Y,
hptdc_bunch_reset_2_obuft/U0/U_IOENFF:A,
hptdc_bunch_reset_2_obuft/U0/U_IOENFF:Y,
LDAC_bar_6_obuf/U0/U_IOPAD:D,
LDAC_bar_6_obuf/U0/U_IOPAD:E,
LDAC_bar_6_obuf/U0/U_IOPAD:PAD,
hptdc_token_out_1_ibuf/U0/U_IOINFF:A,
hptdc_token_out_1_ibuf/U0/U_IOINFF:Y,
JTAG_3/TAP_state[3]:ADn,
JTAG_3/TAP_state[3]:ALn,
JTAG_3/TAP_state[3]:CLK,750
JTAG_3/TAP_state[3]:D,-535
JTAG_3/TAP_state[3]:EN,
JTAG_3/TAP_state[3]:LAT,
JTAG_3/TAP_state[3]:Q,750
JTAG_3/TAP_state[3]:SD,
JTAG_3/TAP_state[3]:SLn,
DACController_0/sclockv:ADn,
DACController_0/sclockv:ALn,
DACController_0/sclockv:CLK,296
DACController_0/sclockv:D,-2766
DACController_0/sclockv:EN,
DACController_0/sclockv:LAT,
DACController_0/sclockv:Q,296
DACController_0/sclockv:SD,
DACController_0/sclockv:SLn,
BiasController_0/sclock_counter15:A,-2809
BiasController_0/sclock_counter15:B,-3972
BiasController_0/sclock_counter15:C,-568
BiasController_0/sclock_counter15:D,-1735
BiasController_0/sclock_counter15:Y,-3972
JTAG_3/loop_counterc:A,680
JTAG_3/loop_counterc:B,-483
JTAG_3/loop_counterc:C,-601
JTAG_3/loop_counterc:D,-2184
JTAG_3/loop_counterc:Y,-2184
BiasController_0/sclock_counter_RNO[31]:A,688
BiasController_0/sclock_counter_RNO[31]:Y,688
JTAG_2/tms_pad_o:ADn,
JTAG_2/tms_pad_o:ALn,
JTAG_2/tms_pad_o:CLK,
JTAG_2/tms_pad_o:D,-871
JTAG_2/tms_pad_o:EN,
JTAG_2/tms_pad_o:LAT,
JTAG_2/tms_pad_o:Q,
JTAG_2/tms_pad_o:SD,
JTAG_2/tms_pad_o:SLn,
hptdc_token_in_3_obuf/U0/U_IOOUTFF:A,
hptdc_token_in_3_obuf/U0/U_IOOUTFF:Y,
JTAG_2/next_TAP_state[9]:ADn,
JTAG_2/next_TAP_state[9]:ALn,
JTAG_2/next_TAP_state[9]:CLK,-440
JTAG_2/next_TAP_state[9]:D,726
JTAG_2/next_TAP_state[9]:EN,
JTAG_2/next_TAP_state[9]:LAT,
JTAG_2/next_TAP_state[9]:Q,-440
JTAG_2/next_TAP_state[9]:SD,
JTAG_2/next_TAP_state[9]:SLn,
SYNC_bar_1_obuf/U0/U_IOOUTFF:A,
SYNC_bar_1_obuf/U0/U_IOOUTFF:Y,
hptdc_tdo_0_obuf/U0/U_IOPAD:D,
hptdc_tdo_0_obuf/U0/U_IOPAD:E,
hptdc_tdo_0_obuf/U0/U_IOPAD:PAD,
ccu25_data_2_obuft[6]/U0/U_IOPAD:D,
ccu25_data_2_obuft[6]/U0/U_IOPAD:E,
ccu25_data_2_obuft[6]/U0/U_IOPAD:PAD,
hptdc_tck_1_obuf/U0/U_IOPAD:D,
hptdc_tck_1_obuf/U0/U_IOPAD:E,
hptdc_tck_1_obuf/U0/U_IOPAD:PAD,
dac_din_0_obuf/U0/U_IOPAD:D,
dac_din_0_obuf/U0/U_IOPAD:E,
dac_din_0_obuf/U0/U_IOPAD:PAD,
ccu25_data_0_obuft[5]/U0/U_IOOUTFF:A,
ccu25_data_0_obuft[5]/U0/U_IOOUTFF:Y,
hptdc_token_in_3_obuf/U0/U_IOENFF:A,
hptdc_token_in_3_obuf/U0/U_IOENFF:Y,
clk_ibuf/U0/U_IOPAD:PAD,
clk_ibuf/U0/U_IOPAD:Y,
hptdc_tms_3_obuf/U0/U_IOOUTFF:A,
hptdc_tms_3_obuf/U0/U_IOOUTFF:Y,
ccu25_strobe_out_3_obuf/U0/U_IOOUTFF:A,
ccu25_strobe_out_3_obuf/U0/U_IOOUTFF:Y,
JTAG_1/tdo_pad_o10_1:A,-564
JTAG_1/tdo_pad_o10_1:B,-614
JTAG_1/tdo_pad_o10_1:Y,-614
hptdc_tdo_1_obuf/U0/U_IOENFF:A,
hptdc_tdo_1_obuf/U0/U_IOENFF:Y,
dac_din_2_obuf/U0/U_IOENFF:A,
dac_din_2_obuf/U0/U_IOENFF:Y,
hptdc_token_bypass_in_1_obuft/U0/U_IOOUTFF:A,
hptdc_token_bypass_in_1_obuft/U0/U_IOOUTFF:Y,
dac_sync_3_obuf/U0/U_IOOUTFF:A,
dac_sync_3_obuf/U0/U_IOOUTFF:Y,
dac_sync_3_obuf/U0/U_IOENFF:A,
dac_sync_3_obuf/U0/U_IOENFF:Y,
JTAG_1/next_TAP_state_srsts_0[7]:A,
JTAG_1/next_TAP_state_srsts_0[7]:B,621
JTAG_1/next_TAP_state_srsts_0[7]:C,570
JTAG_1/next_TAP_state_srsts_0[7]:D,-717
JTAG_1/next_TAP_state_srsts_0[7]:Y,-717
hptdc_tms_3_obuf/U0/U_IOPAD:D,
hptdc_tms_3_obuf/U0/U_IOPAD:E,
hptdc_tms_3_obuf/U0/U_IOPAD:PAD,
dac_sync_2_obuf/U0/U_IOENFF:A,
dac_sync_2_obuf/U0/U_IOENFF:Y,
JTAG_0/tms_pad_o_6_i_1:A,-471
JTAG_0/tms_pad_o_6_i_1:B,-585
JTAG_0/tms_pad_o_6_i_1:C,-662
JTAG_0/tms_pad_o_6_i_1:Y,-662
BiasController_0/sclock_counter_cry[24]:A,
BiasController_0/sclock_counter_cry[24]:B,-283
BiasController_0/sclock_counter_cry[24]:C,
BiasController_0/sclock_counter_cry[24]:CC,-358
BiasController_0/sclock_counter_cry[24]:D,
BiasController_0/sclock_counter_cry[24]:P,-283
BiasController_0/sclock_counter_cry[24]:S,-358
BiasController_0/sclock_counter_cry[24]:UB,
hptdc_token_in_0_obuf/U0/U_IOENFF:A,
hptdc_token_in_0_obuf/U0/U_IOENFF:Y,
hptdc_get_data_1_obuf/U0/U_IOOUTFF:A,
hptdc_get_data_1_obuf/U0/U_IOOUTFF:Y,
DACController_0/sclock_counter[30]:ADn,
DACController_0/sclock_counter[30]:ALn,
DACController_0/sclock_counter[30]:CLK,-526
DACController_0/sclock_counter[30]:D,186
DACController_0/sclock_counter[30]:EN,
DACController_0/sclock_counter[30]:LAT,
DACController_0/sclock_counter[30]:Q,-526
DACController_0/sclock_counter[30]:SD,
DACController_0/sclock_counter[30]:SLn,-2055
Core_sb_0/SYSRESET_POR/IP_INTERFACE_0:A,
Core_sb_0/SYSRESET_POR/IP_INTERFACE_0:B,
Core_sb_0/SYSRESET_POR/IP_INTERFACE_0:C,
Core_sb_0/SYSRESET_POR/IP_INTERFACE_0:IPA,
hptdc_tck_0_obuf/U0/U_IOENFF:A,
hptdc_tck_0_obuf/U0/U_IOENFF:Y,
poh_data_1_obuf/U0/U_IOENFF:A,
poh_data_1_obuf/U0/U_IOENFF:Y,
JTAG_2/loop_counterc:A,-1916
JTAG_2/loop_counterc:B,609
JTAG_2/loop_counterc:C,-601
JTAG_2/loop_counterc:Y,-1916
dac_sclk_1_obuf/U0/U_IOENFF:A,
dac_sclk_1_obuf/U0/U_IOENFF:Y,
poh_data_3_obuf/U0/U_IOPAD:D,
poh_data_3_obuf/U0/U_IOPAD:E,
poh_data_3_obuf/U0/U_IOPAD:PAD,
LDAC_bar_0_obuf/U0/U_IOPAD:D,
LDAC_bar_0_obuf/U0/U_IOPAD:E,
LDAC_bar_0_obuf/U0/U_IOPAD:PAD,
JTAG_2/next_TAP_state_RNO[5]:A,-384
JTAG_2/next_TAP_state_RNO[5]:B,
JTAG_2/next_TAP_state_RNO[5]:Y,-384
ccu25_data_2_obuft[7]/U0/U_IOENFF:A,
ccu25_data_2_obuft[7]/U0/U_IOENFF:Y,
JTAG_0/next_TAP_state_RNO[6]:A,
JTAG_0/next_TAP_state_RNO[6]:B,621
JTAG_0/next_TAP_state_RNO[6]:C,-640
JTAG_0/next_TAP_state_RNO[6]:Y,-640
JTAG_1/loop_counter[1]:ADn,
JTAG_1/loop_counter[1]:ALn,
JTAG_1/loop_counter[1]:CLK,-2184
JTAG_1/loop_counter[1]:D,-2184
JTAG_1/loop_counter[1]:EN,
JTAG_1/loop_counter[1]:LAT,
JTAG_1/loop_counter[1]:Q,-2184
JTAG_1/loop_counter[1]:SD,
JTAG_1/loop_counter[1]:SLn,
DACController_0/sclock_counter_cry[22]:A,
DACController_0/sclock_counter_cry[22]:B,-217
DACController_0/sclock_counter_cry[22]:C,
DACController_0/sclock_counter_cry[22]:CC,-315
DACController_0/sclock_counter_cry[22]:D,
DACController_0/sclock_counter_cry[22]:P,-217
DACController_0/sclock_counter_cry[22]:S,-315
DACController_0/sclock_counter_cry[22]:UB,
ccu25_data_1_obuft[5]/U0/U_IOENFF:A,
ccu25_data_1_obuft[5]/U0/U_IOENFF:Y,
JTAG_1/next_TAP_state_srsts_0_a2[3]:A,680
JTAG_1/next_TAP_state_srsts_0_a2[3]:B,
JTAG_1/next_TAP_state_srsts_0_a2[3]:Y,680
SYNC_bar_6_obuf/U0/U_IOOUTFF:A,
SYNC_bar_6_obuf/U0/U_IOOUTFF:Y,
JTAG_1/TAP_state_RNO[1]:A,734
JTAG_1/TAP_state_RNO[1]:B,621
JTAG_1/TAP_state_RNO[1]:C,570
JTAG_1/TAP_state_RNO[1]:D,-625
JTAG_1/TAP_state_RNO[1]:Y,-625
hptdc_get_data_3_obuf/U0/U_IOENFF:A,
hptdc_get_data_3_obuf/U0/U_IOENFF:Y,
DACController_0/sclock_counter[23]:ADn,
DACController_0/sclock_counter[23]:ALn,
DACController_0/sclock_counter[23]:CLK,-2934
DACController_0/sclock_counter[23]:D,-429
DACController_0/sclock_counter[23]:EN,
DACController_0/sclock_counter[23]:LAT,
DACController_0/sclock_counter[23]:Q,-2934
DACController_0/sclock_counter[23]:SD,
DACController_0/sclock_counter[23]:SLn,-2055
BiasController_0/sclock_counter[18]:ADn,
BiasController_0/sclock_counter[18]:ALn,
BiasController_0/sclock_counter[18]:CLK,-1774
BiasController_0/sclock_counter[18]:D,-457
BiasController_0/sclock_counter[18]:EN,
BiasController_0/sclock_counter[18]:LAT,
BiasController_0/sclock_counter[18]:Q,-1774
BiasController_0/sclock_counter[18]:SD,
BiasController_0/sclock_counter[18]:SLn,-1902
ccu25_data_3_obuft[0]/U0/U_IOOUTFF:A,
ccu25_data_3_obuft[0]/U0/U_IOOUTFF:Y,
hptdc_serial_bypass_in_1_obuft/U0/U_IOPAD:D,
hptdc_serial_bypass_in_1_obuft/U0/U_IOPAD:E,
hptdc_serial_bypass_in_1_obuft/U0/U_IOPAD:PAD,
dac_din_0_obuf/U0/U_IOOUTFF:A,
dac_din_0_obuf/U0/U_IOOUTFF:Y,
pbpd_obuft[1]/U0/U_IOENFF:A,
pbpd_obuft[1]/U0/U_IOENFF:Y,
poh_clk_3_obuft/U0/U_IOENFF:A,
poh_clk_3_obuft/U0/U_IOENFF:Y,
SClock_4_obuf/U0/U_IOOUTFF:A,
SClock_4_obuf/U0/U_IOOUTFF:Y,
JTAG_3/next_TAP_state[7]:ADn,
JTAG_3/next_TAP_state[7]:ALn,
JTAG_3/next_TAP_state[7]:CLK,-1981
JTAG_3/next_TAP_state[7]:D,-717
JTAG_3/next_TAP_state[7]:EN,
JTAG_3/next_TAP_state[7]:LAT,
JTAG_3/next_TAP_state[7]:Q,-1981
JTAG_3/next_TAP_state[7]:SD,
JTAG_3/next_TAP_state[7]:SLn,
ccu25_data_2_obuft[5]/U0/U_IOPAD:D,
ccu25_data_2_obuft[5]/U0/U_IOPAD:E,
ccu25_data_2_obuft[5]/U0/U_IOPAD:PAD,
JTAG_1/un14_i_a2_1[3]:A,-595
JTAG_1/un14_i_a2_1[3]:B,-645
JTAG_1/un14_i_a2_1[3]:Y,-645
JTAG_2/loop_counter[0]:ADn,
JTAG_2/loop_counter[0]:ALn,
JTAG_2/loop_counter[0]:CLK,-1937
JTAG_2/loop_counter[0]:D,-1916
JTAG_2/loop_counter[0]:EN,
JTAG_2/loop_counter[0]:LAT,
JTAG_2/loop_counter[0]:Q,-1937
JTAG_2/loop_counter[0]:SD,
JTAG_2/loop_counter[0]:SLn,
hptdc_serial_bypass_in_0_obuft/U0/U_IOPAD:D,
hptdc_serial_bypass_in_0_obuft/U0/U_IOPAD:E,
hptdc_serial_bypass_in_0_obuft/U0/U_IOPAD:PAD,
DACController_0/sclock_counter[22]:ADn,
DACController_0/sclock_counter[22]:ALn,
DACController_0/sclock_counter[22]:CLK,-2055
DACController_0/sclock_counter[22]:D,-315
DACController_0/sclock_counter[22]:EN,
DACController_0/sclock_counter[22]:LAT,
DACController_0/sclock_counter[22]:Q,-2055
DACController_0/sclock_counter[22]:SD,
DACController_0/sclock_counter[22]:SLn,-2055
JTAG_0/next_TAP_state_srsts_i_o2[6]:A,-558
JTAG_0/next_TAP_state_srsts_i_o2[6]:B,-622
JTAG_0/next_TAP_state_srsts_i_o2[6]:C,-717
JTAG_0/next_TAP_state_srsts_i_o2[6]:Y,-717
hptdc_serial_in_0_obuft/U0/U_IOOUTFF:A,
hptdc_serial_in_0_obuft/U0/U_IOOUTFF:Y,
JTAG_1/next_TAP_state[7]:ADn,
JTAG_1/next_TAP_state[7]:ALn,
JTAG_1/next_TAP_state[7]:CLK,-1981
JTAG_1/next_TAP_state[7]:D,-717
JTAG_1/next_TAP_state[7]:EN,
JTAG_1/next_TAP_state[7]:LAT,
JTAG_1/next_TAP_state[7]:Q,-1981
JTAG_1/next_TAP_state[7]:SD,
JTAG_1/next_TAP_state[7]:SLn,
ccu25_data_0_obuft[0]/U0/U_IOENFF:A,
ccu25_data_0_obuft[0]/U0/U_IOENFF:Y,
DACController_0/sclock_counter15:A,-2766
DACController_0/sclock_counter15:B,616
DACController_0/sclock_counter15:C,-1970
DACController_0/sclock_counter15:Y,-2766
clk_ibuf_RNIVTI2/U0:An,
clk_ibuf_RNIVTI2/U0:ENn,
clk_ibuf_RNIVTI2/U0:YWn,
dac_ldac_2_obuf/U0/U_IOPAD:D,
dac_ldac_2_obuf/U0/U_IOPAD:E,
dac_ldac_2_obuf/U0/U_IOPAD:PAD,
ccu25_data_2_obuft[4]/U0/U_IOOUTFF:A,
ccu25_data_2_obuft[4]/U0/U_IOOUTFF:Y,
ccu25_data_2_obuft[2]/U0/U_IOENFF:A,
ccu25_data_2_obuft[2]/U0/U_IOENFF:Y,
JTAG_3/next_TAP_state[5]:ADn,
JTAG_3/next_TAP_state[5]:ALn,
JTAG_3/next_TAP_state[5]:CLK,570
JTAG_3/next_TAP_state[5]:D,-384
JTAG_3/next_TAP_state[5]:EN,
JTAG_3/next_TAP_state[5]:LAT,
JTAG_3/next_TAP_state[5]:Q,570
JTAG_3/next_TAP_state[5]:SD,
JTAG_3/next_TAP_state[5]:SLn,
hptdc_trigger_3_obuft/U0/U_IOOUTFF:A,
hptdc_trigger_3_obuft/U0/U_IOOUTFF:Y,
hptdc_get_data_2_obuf/U0/U_IOENFF:A,
hptdc_get_data_2_obuf/U0/U_IOENFF:Y,
BiasController_0/un2_sclock_counter_1lto8:A,-3710
BiasController_0/un2_sclock_counter_1lto8:B,-3774
BiasController_0/un2_sclock_counter_1lto8:C,-3862
BiasController_0/un2_sclock_counter_1lto8:D,-3972
BiasController_0/un2_sclock_counter_1lto8:Y,-3972
JTAG_0/ir_loop:ADn,
JTAG_0/ir_loop:ALn,
JTAG_0/ir_loop:CLK,624
JTAG_0/ir_loop:D,1735
JTAG_0/ir_loop:EN,455
JTAG_0/ir_loop:LAT,
JTAG_0/ir_loop:Q,624
JTAG_0/ir_loop:SD,
JTAG_0/ir_loop:SLn,
ccu25_strobe_out_2_obuf/U0/U_IOENFF:A,
ccu25_strobe_out_2_obuf/U0/U_IOENFF:Y,
JTAG_1/next_TAP_state[5]:ADn,
JTAG_1/next_TAP_state[5]:ALn,
JTAG_1/next_TAP_state[5]:CLK,-585
JTAG_1/next_TAP_state[5]:D,-384
JTAG_1/next_TAP_state[5]:EN,
JTAG_1/next_TAP_state[5]:LAT,
JTAG_1/next_TAP_state[5]:Q,-585
JTAG_1/next_TAP_state[5]:SD,
JTAG_1/next_TAP_state[5]:SLn,
DACController_0/sclock_counter_s_801:A,
DACController_0/sclock_counter_s_801:B,-475
DACController_0/sclock_counter_s_801:C,
DACController_0/sclock_counter_s_801:CC,
DACController_0/sclock_counter_s_801:D,
DACController_0/sclock_counter_s_801:P,-475
DACController_0/sclock_counter_s_801:UB,
hptdc_encode_control_1_obuft/U0/U_IOOUTFF:A,
hptdc_encode_control_1_obuft/U0/U_IOOUTFF:Y,
ccu25_strobe_out_0_obuf/U0/U_IOPAD:D,
ccu25_strobe_out_0_obuf/U0/U_IOPAD:E,
ccu25_strobe_out_0_obuf/U0/U_IOPAD:PAD,
JTAG_3/next_TAP_state_i[0]:ADn,
JTAG_3/next_TAP_state_i[0]:ALn,
JTAG_3/next_TAP_state_i[0]:CLK,536
JTAG_3/next_TAP_state_i[0]:D,688
JTAG_3/next_TAP_state_i[0]:EN,
JTAG_3/next_TAP_state_i[0]:LAT,
JTAG_3/next_TAP_state_i[0]:Q,536
JTAG_3/next_TAP_state_i[0]:SD,
JTAG_3/next_TAP_state_i[0]:SLn,
Core_sb_0/CCC_0/CLK0_PAD_INST/U0/U_IOINFF:A,
Core_sb_0/CCC_0/CLK0_PAD_INST/U0/U_IOINFF:Y,
DIN_1_obuf/U0/U_IOENFF:A,
DIN_1_obuf/U0/U_IOENFF:Y,
hptdc_serial_in_1_obuft/U0/U_IOOUTFF:A,
hptdc_serial_in_1_obuft/U0/U_IOOUTFF:Y,
dac_ldac_3_obuf/U0/U_IOOUTFF:A,
dac_ldac_3_obuf/U0/U_IOOUTFF:Y,
JTAG_0/next_TAP_state[8]:ADn,
JTAG_0/next_TAP_state[8]:ALn,
JTAG_0/next_TAP_state[8]:CLK,-662
JTAG_0/next_TAP_state[8]:D,
JTAG_0/next_TAP_state[8]:EN,
JTAG_0/next_TAP_state[8]:LAT,
JTAG_0/next_TAP_state[8]:Q,-662
JTAG_0/next_TAP_state[8]:SD,
JTAG_0/next_TAP_state[8]:SLn,
DACController_0/sclock_counter[29]:ADn,
DACController_0/sclock_counter[29]:ALn,
DACController_0/sclock_counter[29]:CLK,-310
DACController_0/sclock_counter[29]:D,112
DACController_0/sclock_counter[29]:EN,
DACController_0/sclock_counter[29]:LAT,
DACController_0/sclock_counter[29]:Q,-310
DACController_0/sclock_counter[29]:SD,
DACController_0/sclock_counter[29]:SLn,-2055
hptdc_tdo_1_obuf/U0/U_IOOUTFF:A,
hptdc_tdo_1_obuf/U0/U_IOOUTFF:Y,
poh_clk_3_obuft/U0/U_IOOUTFF:A,
poh_clk_3_obuft/U0/U_IOOUTFF:Y,
JTAG_2/un1_data_from_hptdc_1_sqmuxa_i_a2:A,734
JTAG_2/un1_data_from_hptdc_1_sqmuxa_i_a2:B,
JTAG_2/un1_data_from_hptdc_1_sqmuxa_i_a2:Y,734
BiasController_0/sclock_counter[29]:ADn,
BiasController_0/sclock_counter[29]:ALn,
BiasController_0/sclock_counter[29]:CLK,-310
BiasController_0/sclock_counter[29]:D,112
BiasController_0/sclock_counter[29]:EN,
BiasController_0/sclock_counter[29]:LAT,
BiasController_0/sclock_counter[29]:Q,-310
BiasController_0/sclock_counter[29]:SD,
BiasController_0/sclock_counter[29]:SLn,-1902
JTAG_2/TAP_state_RNO[1]:A,734
JTAG_2/TAP_state_RNO[1]:B,621
JTAG_2/TAP_state_RNO[1]:C,570
JTAG_2/TAP_state_RNO[1]:D,-625
JTAG_2/TAP_state_RNO[1]:Y,-625
hptdc_bunch_reset_1_obuft/U0/U_IOPAD:D,
hptdc_bunch_reset_1_obuft/U0/U_IOPAD:E,
hptdc_bunch_reset_1_obuft/U0/U_IOPAD:PAD,
ccu25_data_3_obuft[1]/U0/U_IOOUTFF:A,
ccu25_data_3_obuft[1]/U0/U_IOOUTFF:Y,
JTAG_2/loop_counter[1]:ADn,
JTAG_2/loop_counter[1]:ALn,
JTAG_2/loop_counter[1]:CLK,-2184
JTAG_2/loop_counter[1]:D,-2184
JTAG_2/loop_counter[1]:EN,
JTAG_2/loop_counter[1]:LAT,
JTAG_2/loop_counter[1]:Q,-2184
JTAG_2/loop_counter[1]:SD,
JTAG_2/loop_counter[1]:SLn,
hptdc_token_out_0_ibuf/U0/U_IOPAD:PAD,
hptdc_token_out_0_ibuf/U0/U_IOPAD:Y,
JTAG_1/un14_o2[2]:A,-1818
JTAG_1/un14_o2[2]:B,-1886
JTAG_1/un14_o2[2]:Y,-1886
hptdc_token_out_3_ibuf/U0/U_IOPAD:PAD,
hptdc_token_out_3_ibuf/U0/U_IOPAD:Y,
JTAG_3/loop_counter[2]:ADn,
JTAG_3/loop_counter[2]:ALn,
JTAG_3/loop_counter[2]:CLK,-2066
JTAG_3/loop_counter[2]:D,-2184
JTAG_3/loop_counter[2]:EN,
JTAG_3/loop_counter[2]:LAT,
JTAG_3/loop_counter[2]:Q,-2066
JTAG_3/loop_counter[2]:SD,
JTAG_3/loop_counter[2]:SLn,
DACController_0/sclock_counter_cry[25]:A,
DACController_0/sclock_counter_cry[25]:B,-342
DACController_0/sclock_counter_cry[25]:C,
DACController_0/sclock_counter_cry[25]:CC,-250
DACController_0/sclock_counter_cry[25]:D,
DACController_0/sclock_counter_cry[25]:P,-342
DACController_0/sclock_counter_cry[25]:S,-250
DACController_0/sclock_counter_cry[25]:UB,
hptdc_token_in_1_obuf/U0/U_IOENFF:A,
hptdc_token_in_1_obuf/U0/U_IOENFF:Y,
JTAG_2/TAP_state_RNO[3]:A,734
JTAG_2/TAP_state_RNO[3]:B,628
JTAG_2/TAP_state_RNO[3]:C,546
JTAG_2/TAP_state_RNO[3]:D,-645
JTAG_2/TAP_state_RNO[3]:Y,-645
ccu25_strobe_out_3_obuf/U0/U_IOENFF:A,
ccu25_strobe_out_3_obuf/U0/U_IOENFF:Y,
SClock_5_obuf/U0/U_IOPAD:D,
SClock_5_obuf/U0/U_IOPAD:E,
SClock_5_obuf/U0/U_IOPAD:PAD,
ccu25_data_1_obuft[3]/U0/U_IOOUTFF:A,
ccu25_data_1_obuft[3]/U0/U_IOOUTFF:Y,
BiasController_0/sclock_counter[23]:ADn,
BiasController_0/sclock_counter[23]:ALn,
BiasController_0/sclock_counter[23]:CLK,-3972
BiasController_0/sclock_counter[23]:D,-429
BiasController_0/sclock_counter[23]:EN,
BiasController_0/sclock_counter[23]:LAT,
BiasController_0/sclock_counter[23]:Q,-3972
BiasController_0/sclock_counter[23]:SD,
BiasController_0/sclock_counter[23]:SLn,-1902
hptdc_token_in_2_obuf/U0/U_IOPAD:D,
hptdc_token_in_2_obuf/U0/U_IOPAD:E,
hptdc_token_in_2_obuf/U0/U_IOPAD:PAD,
poh_data_0_obuf/U0/U_IOENFF:A,
poh_data_0_obuf/U0/U_IOENFF:Y,
JTAG_0/un14_i_a2_0[0]:A,-390
JTAG_0/un14_i_a2_0[0]:B,-440
JTAG_0/un14_i_a2_0[0]:Y,-440
JTAG_1/un19:A,-605
JTAG_1/un19:B,-676
JTAG_1/un19:C,-1886
JTAG_1/un19:D,-2184
JTAG_1/un19:Y,-2184
poh_data_2_obuf/U0/U_IOPAD:D,
poh_data_2_obuf/U0/U_IOPAD:E,
poh_data_2_obuf/U0/U_IOPAD:PAD,
hptdc_data_ready_2_ibuf/U0/U_IOPAD:PAD,
hptdc_data_ready_2_ibuf/U0/U_IOPAD:Y,
poh_data_0_obuf/U0/U_IOPAD:D,
poh_data_0_obuf/U0/U_IOPAD:E,
poh_data_0_obuf/U0/U_IOPAD:PAD,
hptdc_token_in_2_obuf/U0/U_IOOUTFF:A,
hptdc_token_in_2_obuf/U0/U_IOOUTFF:Y,
hptdc_data_ready_1_ibuf/U0/U_IOPAD:PAD,
hptdc_data_ready_1_ibuf/U0/U_IOPAD:Y,
ccu25_data_3_obuft[7]/U0/U_IOPAD:D,
ccu25_data_3_obuft[7]/U0/U_IOPAD:E,
ccu25_data_3_obuft[7]/U0/U_IOPAD:PAD,
ccu25_data_3_obuft[5]/U0/U_IOENFF:A,
ccu25_data_3_obuft[5]/U0/U_IOENFF:Y,
JTAG_1/tdo_pad_o:ADn,
